CATEGORY,TYPE,DETAIL,REQUEST TYPE
Trash / Recycling,Leaf / Brush,Leaf/Brush Appointment Missed,Trash / Recycling-Leaf / Brush-Appointment Missed
Trash / Recycling,Leaf / Brush,Missed Pick Up,Trash / Recycling-Leaf / Brush-Missed Pick Up
Trash / Recycling,Leaf / Brush,Missed Pick Up,Trash/Recycling - Leaf/Brush - Monday - North
Trash / Recycling,Leaf / Brush,Missed Pick Up,Trash/Recycling - Leaf/Brush - Thursday - North
Trash / Recycling,Leaf / Brush,Monday - Central,Trash / Recycling-Leaf / Brush-Missed Pick Up
Trash / Recycling,Leaf / Brush,Monday - Central,Trash / Recycling-Services-Service Issue / Problem
Trash / Recycling,Leaf / Brush,Monday - Central,Trash / Recycling-Trash Collection-Missed by City
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Monday - Central
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Monday - North
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Monday - South
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Tuesday - North
Trash / Recycling,Leaf / Brush,Monday - Central,"Web SR - Trash, Recycle, Bulky"
Trash / Recycling,Leaf / Brush,Monday - North,Trash/Recycling - Leaf/Brush - Monday - North
Trash / Recycling,Leaf / Brush,Monday - South,Trash/Recycling - Leaf/Brush - Monday - South
Trash / Recycling,Leaf / Brush,Thursday - Central,Trash/Recycling - Leaf/Brush - Thursday - Central
Trash / Recycling,Leaf / Brush,Thursday - North,Trash/Recycling - Leaf/Brush - Thursday - North
Trash / Recycling,Leaf / Brush,Thursday - South,Trash/Recycling - Leaf/Brush - Thursday - South
Trash / Recycling,Leaf / Brush,Tuesday - Central,Trash/Recycling - Leaf/Brush - Tuesday - Central
Trash / Recycling,Leaf / Brush,Tuesday - North,Trash/Recycling - Leaf/Brush - Tuesday - North
Trash / Recycling,Leaf / Brush,Tuesday - South,Trash/Recycling - Leaf/Brush - Tuesday - South
Trash / Recycling,Leaf / Brush,Wednesday - Central,Trash/Recycling - Leaf/Brush - Wednesday - Central
Trash / Recycling,Leaf / Brush,Wednesday - North,Trash/Recycling - Leaf/Brush - Wednesday - North
Trash / Recycling,Leaf / Brush,Wednesday - South,Trash/Recycling - Leaf/Brush - Wednesday - South
Trash / Recycling,Nuisance,Early Set Out,Trash / Recycling-Nuisance-Early Set Out
Trash / Recycling,Nuisance,Land Bank,Trash / Recycling-Nuisance-Land Bank
Trash / Recycling,Nuisance,Open Storage,Property Violations
Trash / Recycling,Nuisance,Trash on Private Property,Property Violations
Trash / Recycling,Recycling,Missed by City,Trash / Recycling-Recycling-Missed by City
Trash / Recycling,Recycling,Missed by Contractor North,Trash / Recycling-Recycling-Missed by Contractor North
Trash / Recycling,Recycling,Missed by Contractor South,Trash / Recycling-Recycling-Missed by Contractor South
Trash / Recycling,Recycling,Repeat Missed,Trash / Recycling-Recycling-Repeat Missed
Trash / Recycling,Services,Blue Bag Program,Trash / Recycling-Services-Blue Bag Program
Trash / Recycling,Services,Call Back Request,Trash / Recycling-Services-Call Back Request
Trash / Recycling,Services,Disability Pick Up,Trash / Recycling-Services-Disability Pick Up
Trash / Recycling,Services,Feedback,Trash / Recycling-Services-Feedback
Trash / Recycling,Services,Medical Tags,Trash / Recycling-Services-Medical Tags
Trash / Recycling,Services,Multi-Unit,Trash / Recycling-Services-Multi-Unit
Trash / Recycling,Services,Question,Trash / Recycling-Services-Question
Trash / Recycling,Services,Service Issue / Problem,Trash / Recycling-Services-Service Issue / Problem
Trash / Recycling,Solid Waste Operations,Brush,Trash / Recycling-Solid Waste Operations-Brush
Trash / Recycling,Solid Waste Operations,Bulky,Trash / Recycling-Solid Waste Operations-Bulky
Trash / Recycling,Solid Waste Operations,Trash,Trash / Recycling-Solid Waste Operations-Trash
Trash / Recycling,Trash,Violation,Streets / Roadways / Alleys-Street Clean Up-District 2
Trash / Recycling,Trash,Violation,Trash / Recycling-Trash Collection-Missed by Contractor North
Trash / Recycling,Trash Cart,Cart Size Change,Trash / Recycling-Trash Cart-Cart Size
Trash / Recycling,Trash Cart,Not Delivered,Trash / Recycling-Trash Cart-Not Delivered
Trash / Recycling,Trash Collection,City Owned Trash Container,Trash / Recycling-Trash Collection-City Owned Trash Container
Trash / Recycling,Trash Collection,Missed City Trash and Recycling,Trash / Recycling - Trash Collection - City Trash - Recycle
Trash / Recycling,Trash Collection,Missed City Trash and Recycling,Trash / Recycling-Dumping-Park - South
Trash / Recycling,Trash Collection,Missed City Trash and Recycling,Trash / Recycling-Trash Collection-Missed by City
Trash / Recycling,Trash Collection,Missed City Trash and Recycling,"Web SR - Trash, Recycle, Bulky"
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling - Trash Collection - North Trash - Recycle
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling - Trash Collection - South Trash - Recycle
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling-Recycling-Missed by Contractor North
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling-Trash Collection-Missed by Contractor North
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,"Web SR - Trash, Recycle, Bulky"
Trash / Recycling,Trash Collection,Missed South Trash - Recycling,Trash / Recycling - Trash Collection - North Trash - Recycle
Trash / Recycling,Trash Collection,Missed South Trash - Recycling,Trash / Recycling - Trash Collection - South Trash - Recycle
Trash / Recycling,Trash Collection,Missed South Trash - Recycling,Trash / Recycling-Trash Collection-Missed by City
Trash / Recycling,Trash Collection,Missed South Trash - Recycling,Trash / Recycling-Trash Collection-Missed by Contractor South
Trash / Recycling,Trash Collection,Missed South Trash - Recycling,"Web SR - Trash, Recycle, Bulky"
Trash / Recycling,Trash Collection,Missed by City,Trash / Recycling-Trash Collection-Missed by City
Trash / Recycling,Trash Collection,Missed by Contractor North,Trash / Recycling-Trash Collection-Missed by Contractor North
Trash / Recycling,Trash Collection,Missed by Contractor South,Trash / Recycling-Trash Collection-Missed by Contractor South
Trash / Recycling,Trash Collection,Repeat Missed,Trash / Recycling-Trash Collection-Repeat Missed
Trash / Recycling,Trash Collection,Storm Trash,Trash/Recycling - Trash Collection - Storm Trash
Trees,Brush,*Select one,Tree Limb or Brush Removal for City Tree
Trees,Brush,Central Region,Tree Limb and Brush Removal from City Tree - Central Region
Trees,Brush,Central Region,Tree Limb or Brush Removal for City Tree
Trees,Brush,North Region,Tree Limb and Brush Removal from City Tree - North Region
Trees,Brush,North Region,Tree Limb or Brush Removal for City Tree
Trees,Brush,South Region,Tree Limb and Brush Removal from City Tree - South Region
Trees,Brush,South Region,Tree Limb or Brush Removal for City Tree
Trees,Care,Disease,Trees-Care-Disease
Trees,Care,Insects,Trees-Care-Insects
Trees,Care,Sick,Trees-Care-Sick
Trees,Care,Vandalism,Trees-Care-Vandalism
Trees,Customer Service,All,Dead Tree on Land Trust Lots
Trees,Customer Service,All,Forestry Customer Service Comment
Trees,Customer Service,All,Tree Trimming on Land Trust Lots
Trees,Customer Service,Complaint,Emerald Ash Borer Questions
Trees,Customer Service,Complaint,Tree Staff Customer Service Complaint
Trees,Customer Service,Compliment,Tree Staff Compliment
Trees,DOWN OR DAMAGED,SNOW,Tree or Limb Down Due to Snow
Trees,Disease,*Select one,"Tree Disease, Insects or Vandalism"
Trees,Disease,Central Region,"Tree Disease, Insects or Vandalism"
Trees,Disease,South Region,"Tree Disease, Insects or Vandalism"
Trees,Emerald Ash,Question / Feedback,Trees-Emerald Ash-Question / Feedback
Trees,Emerald Ash,Removal,Trees-Emerald Ash-Removal
Trees,Emerald Ash,Treatment,Trees-Emerald Ash-Treatment
Trees,Emerald Ash Borer,Questions,Emerald Ash Borer Questions
Trees,Emerald Ash Borer,Removal,Emerald Ash Borer Tree Removal
Trees,Inspection for NPD,Private Property Violation,Tree Inspection on Private Property
Trees,Intersection,All,Tree Trimming at Intersection
Trees,Land Bank,Dead,Trees-Land Bank-Dead
Trees,Land Bank,Hazardous,Trees-Land Bank-Hazardous
Trees,Land Bank,Tree Debris,Trees-Land Bank-Tree Debris
Trees,Permit,All,"Permit to prune, remove, or plant a City Tree"
Trees,Permit,Ash Treatment,Trees - Permit - Ash Treatment
Trees,Permit,Plant,Trees-Permit-Plant
Trees,Permit,Remove,Trees-Permit-Remove
Trees,Permit,Trim,Trees-Permit-Trim
Trees,Planting,*Select one,Tree Planting for New Tree
Trees,Planting,Central Region,Tree Planting Central Region
Trees,Planting,Central Region,Tree Planting for New Tree
Trees,Planting,North Region,Tree Planting North Region
Trees,Planting,North Region,Tree Planting for New Tree
Trees,Planting,South Region,Tree Planting South Region
Trees,Planting,South Region,Tree Planting for New Tree
Trees,Private Property,Dead,Property Violations
Trees,Private Property,Hazardous,Trees-Private Property-Hazardous
Trees,Private Property,Tree Debris,Property Violations
Trees,Removal,*Select one,Tree Removal of a City Tree
Trees,Removal,*Select one,Tree Trimming North Region
Trees,Removal,*Select one,Tree Trimming for City Tree
Trees,Removal,All,Permit for Private Removal of a City Tree
Trees,Removal,All,"Permit to prune, remove, or plant a City Tree"
Trees,Removal,All,Tree Live Removal
Trees,Removal,All,Tree Removal Central Region
Trees,Removal,Brush Pickup,Trees-Removal-Brush pickup
Trees,Removal,Central Region,Tree Removal Central Region
Trees,Removal,Central Region,Tree Removal South Region
Trees,Removal,Central Region,Tree Removal of a City Tree
Trees,Removal,Declining,Trees-Removal-Dangerous
Trees,Removal,Declining,Trees-Removal-Declining
Trees,Removal,Dumping,Trees-Removal-Dumping
Trees,Removal,North Region,Tree Removal Central Region
Trees,Removal,North Region,Tree Removal North Region
Trees,Removal,North Region,Tree Removal of a City Tree
Trees,Removal,South Region,Tree Removal South Region
Trees,Removal,South Region,Tree Removal of a City Tree
Trees,Removal,Stump,Trees-Removal-Stump
Trees,Removal,Tree Dead,Trees-Removal-Tree dead
Trees,Removal,Tree Down,Trees-Removal-Tree down
Trees,Removal,Tree Limbs,Trees-Removal-Tree Limbs
Trees,Services,EAB,Trees-Services-EAB
Trees,Services,Feedback,Trees-Services-Feedback
Trees,Services,Plant City Tree Request,Trees-Services-Plant City Tree Request
Trees,Services,Question,Trees-Services-Question
Trees,Services,Review,Trees-Services-Review
Trees,Services,Service Issue / Problem,Trees-Services-Service Issue / Problem
Trees,Storm Damage,*Select one,Tree Damage to City Tree from Storm Event
Trees,Storm Damage,Central Region,Tree Damage to City Tree from Storm Event
Trees,Storm Damage,Central Region,Tree Storm Damage Central Region
Trees,Storm Damage,Central Region,Tree Storm Damage South Region
Trees,Storm Damage,North Region,Tree Damage to City Tree from Storm Event
Trees,Storm Damage,North Region,Tree Storm Damage Central Region
Trees,Storm Damage,North Region,Tree Storm Damage North Region
Trees,Storm Damage,South Region,Tree Damage to City Tree from Storm Event
Trees,Storm Damage,South Region,Tree Storm Damage South Region
Trees,Storm Damage,Tree Down,Trees-Storm Damage-Tree Down
Trees,Storm Damage,Tree Limb / Brush,Trees-Storm Damage-Tree Limb / Brush
Trees,Storm Damage,Trim,Trees-Storm Damage-Trim
Trees,Stump Removal,*Select one,Tree Stump Removal for City Tree
Trees,Stump Removal,Central Region,Tree Stump Removal Central Region
Trees,Stump Removal,Central Region,Tree Stump Removal for City Tree
Trees,Stump Removal,North Region,Tree Stump Removal North Region
Trees,Stump Removal,North Region,Tree Stump Removal for City Tree
Trees,Stump Removal,South Region,Tree Stump Removal Central Region
Trees,Stump Removal,South Region,Tree Stump Removal South Region
Trees,Stump Removal,South Region,Tree Stump Removal for City Tree
Trees,Trimming,*Select One,Tree Maintenance Seasonal
Trees,Trimming,*Select One,Tree Pruning for Block
Trees,Trimming,*Select One,Tree Trimming for City Tree
Trees,Trimming,*Select One,Tree Trimming from Electric Wire or Street Light
Trees,Trimming,*Select One,Tree Trimming from Street Light
Trees,Trimming,Block Pruning,Trees-Trimming-Block Pruning
Trees,Trimming,Central Region,Tree Trimming Central Region
Trees,Trimming,Central Region,Tree Trimming for City Tree
Trees,Trimming,Central Region,Tree Trimming from Electric Wire or Street Light
Trees,Trimming,Central Region,Tree Trimming from Street Light
Trees,Trimming,North Region,Tree Trimming North Region
Trees,Trimming,North Region,Tree Trimming for City Tree
Trees,Trimming,Seasonal,Trees-Trimming-Seasonal
Trees,Trimming,South Region,Tree Pruning for Block
Trees,Trimming,South Region,Tree Trimming South Region
Trees,Trimming,South Region,Tree Trimming for City Tree
Trees,Trimming,South Region,Tree Trimming from Electric Wire or Street Light
Trees,Trimming,South Region,Tree Trimming from Street Light
Trees,Trimming,Streetlight,Trees-Trimming-Streetlight
Trees,Trimming,Tree Limbs,Trees-Trimming-Tree Limbs
Trees,Trimming,Visibility,Trees-Trimming-Visibility
Vehicle,Abandoned,All,Abandoned Vehicle
Vehicle,Abandoned,All,Mowing on Land Trust Lots
Vehicles / Parking,Abandoned On Street,Boat,Vehicles / Parking-Abandoned On Street-Boat
Vehicles / Parking,Abandoned On Street,Car,Vehicles / Parking-Abandoned On Street-Car
Vehicles / Parking,Abandoned On Street,Other,Vehicles / Parking-Abandoned On Street-Other
Vehicles / Parking,Abandoned On Street,Trailer,Vehicles / Parking-Abandoned On Street-Trailer
Vehicles / Parking,Commercial Parking,Number of Handicap Spaces,Vehicles / Parking-Commercial Parking-Number of Handicap Spaces
Vehicles / Parking,Commercial Parking,Parking Surface - Pay Lot,Vehicles / Parking-Commercial Parking-Parking Surface - Pay Lot
Vehicles / Parking,Commercial Vehicle,On Private Property,Vehicles / Parking-Commercial Vehicle-On private property
Vehicles / Parking,Disabled/Unlicensed on Private Property,Boat Private Property,Property Violations
Vehicles / Parking,Disabled/Unlicensed on Private Property,Car Private Property,Property Violations
Vehicles / Parking,Disabled/Unlicensed on Private Property,Other Private Property,Property Violations
Vehicles / Parking,Disabled/Unlicensed on Private Property,Trailer Private Property,Property Violations
Vehicles / Parking,Illegally Parked,Street/Sidewalk,Vehicles / Parking-Illegally Parked-Street/Sidewalk
Vehicles / Parking,Meter,Repair,Vehicles / Parking-Meter-Repair
Vehicles / Parking,Parked on Unapproved Surface,Boat Private Property,Property Violations
Vehicles / Parking,Parked on Unapproved Surface,Car Private Property,Property Violations
Vehicles / Parking,Parked on Unapproved Surface,Other Private Property,Property Violations
Vehicles / Parking,Parked on Unapproved Surface,Trailer Private Property,Property Violations
Vehicles / Parking,Scooter,Feedback/Concern,Vehicle-Scooter-Feedback/Concern
Vehicles / Parking,Tow Services,Feedback,Vehicles / Parking-Tow Services-Feedback
Vehicles / Parking,Tow Services,Service Issue / Problem,Vehicles / Parking-Tow Services-Service Issue / Problem
Wastewater,Industrial,All,Water Industrial Waste Control
Wastewater,Treatment,All,Wastewater Treatment
Water,Account,Account Services,Water-Account-Account Services
Water,Account,Theft,Water-Account-Theft
Water,Leak,At Curb / In Yard,Water-Leak-At Curb / In Yard
Water,Leak,Emergency Off / Flooding,Water-Leak-Emergency Off / Flooding
Water,Leak,Hydrant,Water-Leak-Hydrant
Water,Leak,Ice Due to Leak,Water-Leak-Ice Due to Leak
Water,Leak,In Street,Water-Leak-In Street
Water,Leak,Meter,Water-Leak-Meter
Water,MFS Referral (Meter Field Services),Investigation,Water - MFS Referral - Investigation
Water,No Water / Pressure,High Pressure,Water-No Water / Pressure-High Pressure
Water,No Water / Pressure,Low Pressure,Water-No Water / Pressure-Low Pressure
Water,No Water / Pressure,No Water,Water-No Water / Pressure-No Water
Water,Pipeline Referral,Curb-box / Service Line,Water-Pipeline Referral-Curb-box / Service Line
Water,Pipeline Referral,Hydrant,Water-Pipeline Referral-Hydrant
Water,Pipeline Referral,Materials Left At Site,Water-Pipeline Referral-Materials left at site
Water,Pipeline Referral,Restoration,Water-Pipeline Referral-Restoration
Water,Pipeline Referral,Restoration Issue,Water-Pipeline Referral-Pipeline/Restoration Issues
Water,Pipeline Referral,Restoration Issue,Water-Pipeline Referral-Restoration Issue
Water,Pipeline Referral,Valve,Water-Pipeline Referral-Valve
Water,Pipeline Referral,Water Main,Water-Pipeline Referral-Water Main
Water,Quality,Color / Cloudy,Water-Quality-Color / Cloudy
Water,Quality,Smell / Odor,Water-Quality-Smell / Odor
Water,Quality,Taste,Water-Quality-Taste
Water,Services,Call Back Request,Water-Services-Call Back Request
Water,Services,Feedback,Water-Services-Feedback
Water,Services,Pipeline Restoration,Water - Services - Pipeline Restoration
Water,Services,Question,Water-Services-Question
Water,Services,Service Issue / Problem,Water-Services-Service Issue / Problem
Water Leak,All,All,Water Leak or Pressure Problem
Water Leak,All,All,Water Repair and Restoration
Water Leak,Contractor Restoration,Contractor Restoration,Pipeline Contractor Restoration
Water Leak,Contractor Restoration,Contractor Restoration,Sewer Contractor Restoration Referral
Water Leak,Curb Box,*SELECT ONE,Pipeline Repair or Restoration Concerns
Water Leak,Curb Box,*SELECT ONE,Service or Curb Box Repair Referral
Water Leak,Curb Box,Central Region,Service or Curb Box Repair Referral
Water Leak,Curb Box,North Region,Service or Curb Box Repair Referral
Water Leak,Curb Box,South Region,Service or Curb Box Repair Referral
Water Leak,Hydrant Repair,*SELECT ONE,Hydrant Repair Referral
Water Leak,Hydrant Repair,Central Region,Hydrant Repair Referral
Water Leak,Hydrant Repair,Central Region,Pipeline Pavement Restoration Referral
Water Leak,Hydrant Repair,North Region,Hydrant Repair Referral
Water Leak,Hydrant Repair,North Region,Pipeline Pavement Restoration Referral
Water Leak,Hydrant Repair,North Region,Service or Curb Box Repair Referral
Water Leak,Hydrant Repair,South Region,Hydrant Repair Referral
Water Leak,Icing,*SELECT ONE,Icing Caused by Water Leak
Water Leak,Icing,All,Icing Caused by Water Leak
Water Leak,Icing,Central Region,Icing Caused by Water Leak
Water Leak,Icing,North Region,Icing Caused by Water Leak
Water Leak,Icing,South Region,Icing Caused by Water Leak
Water Leak,Investigations,All,Meter Leak or Problem
Water Leak,Investigations,All,Water Leak or Pressure Problem
Water Leak,Investigations,Meter Leak,Meter Leak or Problem
Water Leak,Investigations,Meter Leak,Pipeline Pavement Restoration Referral
Water Leak,Investigations,Meter Leak,Water Leak or Pressure Problem
Water Leak,Investigations,Street Leak,Meter Leak or Problem
Water Leak,Investigations,Street Leak,Water Leak or Pressure Problem
Water Leak,Investigations,Supervisors,Field Services Escalation
Water Leak,Pavement Restoration,*SELECT ONE,Pipeline Pavement Restoration Referral
Water Leak,Pavement Restoration,Central Region,Hydrant Repair Referral
Water Leak,Pavement Restoration,Central Region,Pipeline Pavement Restoration Referral
Water Leak,Pavement Restoration,North Region,Pipeline Barricade Referral
Water Leak,Pavement Restoration,North Region,Pipeline Pavement Restoration Referral
Water Leak,Pavement Restoration,South Region,Pipeline Pavement Restoration Referral
Water Leak,Pipeline Barricade,*SELECT ONE,Pipeline Barricade Referral
Water Leak,Pipeline Barricade,Central Region,Pipeline Barricade Referral
Water Leak,Pipeline Barricade,North Region,Pipeline Barricade Referral
Water Leak,Pipeline Barricade,South Region,Pipeline Barricade Referral
Water Leak,Pipeline Repair,*SELECT ONE,Pending Restoration Referral
Water Leak,Pipeline Repair,*SELECT ONE,Pipeline Repair or Restoration Concerns
Water Leak,Pipeline Repair,Central Region,Pipeline Repair or Restoration Concerns
Water Leak,Pipeline Repair,North Region,Pipeline Pavement Restoration Referral
Water Leak,Pipeline Repair,North Region,Pipeline Repair or Restoration Concerns
Water Leak,Pipeline Repair,North Region,Pipeline Turf Referral
Water Leak,Pipeline Repair,South Region,Pipeline Pavement Restoration Referral
Water Leak,Pipeline Repair,South Region,Pipeline Repair or Restoration Concerns
Water Leak,Pipeline Restoration Concerns,Pipeline Restoration Concerns,Completed Contractor Restoration Concerns
Water Leak,Repair,Barricades,Pipeline Barricade Referral
Water Leak,Repair,Barricades,Water Pipeline Barricade
Water Leak,Repair,Curb Box Leak,Service or Curb Box Repair Referral
Water Leak,Repair,Hydrant Leak,Hydrant Repair Referral
Water Leak,Repair,Hydrant Leak,Water Leak or Pressure Problem
Water Leak,Repair,Ice,Icing Caused by Water Leak
Water Leak,Repair,Main Leak,Water Main Repair Referral
Water Leak,Repair,Referral,Pipeline Code 1 Repair - Referral
Water Leak,Repair,Referral,Pipeline Code 2 Repair - Referral
Water Leak,Repair,Referral,Pipeline Code 3 Repair - Referral
Water Leak,Repair,Referral,Pipeline Repair Referral
Water Leak,Repair,Referral,Pipeline Repair or Restoration Concerns
Water Leak,Repair,Valve Leak,Valve Repair Referral
Water Leak,Turf Restoration,*SELECT ONE,Pipeline Turf Referral
Water Leak,Turf Restoration,Central Region,Pipeline Turf Referral
Water Leak,Turf Restoration,North Region,Pipeline Turf Referral
Water Leak,Turf Restoration,South Region,Pipeline Pavement Restoration Referral
Water Leak,Turf Restoration,South Region,Pipeline Turf Referral
Water Leak,Valve Repair,*SELECT ONE,Valve Repair Referral
Water Leak,Valve Repair,Central Region,Valve Repair Referral
Water Leak,Valve Repair,North Region,Valve Repair Referral
Water Leak,Valve Repair,South Region,Valve Repair Referral
Water Leak,Water Main Repair,*SELECT ONE,Water Main Repair Referral
Water Leak,Water Main Repair,Central Region,Pipeline Pavement Restoration Referral
Water Leak,Water Main Repair,Central Region,Water Main Repair Referral
Water Leak,Water Main Repair,North Region,Water Leak or Pressure Problem
Water Leak,Water Main Repair,North Region,Water Main Repair Referral
Water Leak,Water Main Repair,South Region,Water Main Repair Referral
Water Main Break,All,All,Water Main Break
Water Main Break,Restoration,All,Water Restoration Contract
Water Quality,Engineering,All,Water Facilities and Engineering
Water Quality,Engineering,All,Water Facilities and Stormwater Engineering
Water Quality,Engineering,Sewer Projects,Sewer Projects
Water Quality,Engineering,Sewer Projects,Water Main Projects
Water Quality,Engineering,Stormwater Projects,Stormwater Projects
Water Quality,Engineering,Stormwater Projects,Water Main Projects
Water Quality,Engineering,Water Main Projects,Water Main Projects
Water Quality,Industrial,All,Water Industrial Waste Control
Water Quality,Laboratory Service,All,Water Quality - Laboratory Services
Water Services,Administration,All,Sewer Assessment Questions
Water Services,Administration,All,Water Bill Concerns
Water Services,Administration,All,Water Services Administration
Water Services,Automatic Meter Reading,All,Automatic Meter Reading
Water Services,Automatic Meter Reading,All,Automatic Meter Reading - VSI
Water Services,Billing,Stormwater,Stormwater Charges
Water Services,Restoration,Pavement,Pipeline Pavement Restoration Referral
Water Services,Restoration,Pavement,Sewer Pavement Restoration Referral
Water Services,Restoration,Pavement,Water Services Pavement Restoration
Water Services,Restoration,Referral,Water Restoration Contract
Water Services,Restoration,Turf,Pipeline Turf Referral
Water Services,Restoration,Turf,Sewer Turf Restoration - Referral
Water Services,Restoration,Turf,Wastewater Code 1 - Referral
Water Services,Restoration,Turf,Water Services Turf Restoration
Water Services,Revenue Protection,All,Water Theft and Fraud
Weeds,Boulevards and Parkways,All,Landscaping and Blvd/Pkwy Mowing
Weeds,City Property,All,Mowing City Property
Weeds,Land Trust,All,City Maintained Property Addition
Weeds,Land Trust,All,Issues on City Maintained Property
Weeds,Land Trust,All,Mowing on Land Trust Lots
Weeds,Land Trust,Mowing List,City Maintained Property List
Weeds,Land Trust,Mowing List,Land Trust Mowing List
Weeds,Privately Owned Property,No Structure on the Property,Mowing of Private Property with No Structure
Weeds,Right of Way,All,Mowing on the Right of Way
Weeds,Right of Way,All,Rural ROW Mowing
Weeds,Visibility,All,Visibility Problems at an Intersection
Zoning,Investigation,All,Additional Information Required
Zoning,Investigation,All,Zoning Inspections and Violations
Zoning,Investigation,Demolition and Debris,Demolition Debris and Landfill
Zoning,Investigation,Elevator,Elevator Inspection
Zoning,Investigation,Erosion Control,Mud and silt
Zoning,Investigation,Fence and Wall,Fence or Wall
Zoning,Investigation,Sign,Sign Violation Zoning
