lat,lng,Type
39.04232929999999,-94.5946676,Crime
39.0692,-94.532141,Crime
39.15757809999999,-94.44457990000001,Crime
38.929450300000006,-94.49947390000001,Crime
39.0114736,-94.5746227,Crime
39.09337670000001,-94.5812478,Crime
39.290948,-94.5909204,Crime
38.9963227,-94.5592945,Crime
38.9574787,-94.5423682,Crime
39.0462901,-94.55061,Crime
39.07820299999999,-94.5308666,Crime
39.0126391,-94.5594565,Crime
39.11416080000001,-94.5119315,Crime
39.0837177,-94.5337398,Crime
39.0864146,-94.57571800000001,Crime
39.1093856,-94.4831183,Crime
39.17018970000001,-94.5503056,Crime
39.2895598,-94.5754163,Crime
39.2556973,-94.60283390000001,Crime
39.056828,-94.5445809,Crime
39.044377000000004,-94.5512205,Crime
38.98954620000001,-94.57617579999999,Crime
38.968126299999994,-94.6047491,Crime
39.0532605,-94.5471921,Crime
39.142787799999994,-94.5726187,Crime
38.87808880000001,-94.5264554,Crime
39.175579299999995,-94.521566,Crime
39.097856799999995,-94.52206159999999,Crime
39.1681941,-94.5219586,Crime
39.0973467,-94.5820088,Crime
39.2410737,-94.6588108,Crime
39.0572745,-94.553489,Crime
39.0997265,-94.5785667,Crime
39.2419847,-94.4623153,Crime
39.0308638,-94.439574,Crime
38.963783899999996,-94.5839309,Crime
39.0343963,-94.5652031,Crime
38.982139700000005,-94.5669201,Crime
39.099047399999996,-94.5560349,Crime
39.080663,-94.5860835,Crime
38.923700200000006,-94.4998646,Crime
39.090821399999996,-94.56452809999999,Crime
39.103251799999995,-94.5737623,Crime
39.033931200000005,-94.4750372,Crime
39.0123153,-94.5723517,Crime
38.915210200000004,-94.5097007,Crime
39.09837279999999,-94.57827900000001,Crime
39.2487179,-94.651982,Crime
39.247504,-94.647814,Crime
39.0692045,-94.5853713,Crime
39.0762735,-94.52683950000001,Crime
39.030741600000006,-94.4813386,Crime
38.956070200000006,-94.6082059,Crime
39.0930971,-94.5806389,Crime
39.0904178,-94.58364590000001,Crime
38.9268079,-94.50044,Crime
39.0647838,-94.5717704,Crime
38.95223379999999,-94.50487170000001,Crime
39.044341700000004,-94.5931512,Crime
39.1020845,-94.5882022,Crime
38.9158908,-94.48594200000001,Crime
39.0988571,-94.5514106,Crime
39.2580951,-94.65609029999999,Crime
39.1121273,-94.50933640000001,Crime
39.0617605,-94.5247932,Crime
43.78443970000001,-88.7878678,Crime
39.1069223,-94.4832521,Crime
39.0123875,-94.56549270000001,Crime
39.0777841,-94.573641,Crime
39.110645700000006,-94.5188267,Crime
38.9828489,-94.581075,Crime
28.669371999999996,-97.3783305,Crime
39.10349620000001,-94.5511676,Crime
39.0644119,-94.5519336,Crime
39.0707405,-94.5269722,Crime
39.1687395,-94.510816,Crime
39.023554299999994,-94.573998,Crime
38.9555817,-94.5858192,Crime
39.106919500000004,-94.558122,Crime
39.15950720000001,-94.5454886,Crime
39.004745,-94.5772923,Crime
39.1109817,-94.533134,Crime
39.08699319999999,-94.59021800000001,Crime
38.9276155,-94.4907938,Crime
